X,Y,Z0,Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9
0.0,0.0,1.0,0.0,,0.0,2.0,,0.0,2.0,0.0,0.0
0.015625,0.0,1.0,0.0,,0.078125,2.0625,,0.078125,2.0625,-0.15625,1.328125
0.03125,0.0,1.0,0.0,,0.15625,2.125,,0.15625,2.125,-0.3125,2.65625
0.046875,0.0,1.0,0.0,,0.234375,2.1875,,0.234375,2.1875,-0.46875,3.984375
0.0625,0.0,1.0,0.0,,0.3125,2.25,,0.3125,2.25,-0.625,5.3125
0.078125,0.0,1.0,0.0,,0.390625,2.3125,,0.390625,2.3125,-0.78125,6.640625
0.09375,0.0,1.0,0.0,,0.46875,2.375,,0.46875,2.375,-0.9375,7.96875
0.109375,0.0,1.0,0.0,-1.0,0.546875,2.4375,1.09375,0.546875,2.4375,-1.09375,9.296875
0.125,0.0,1.0,0.0,-1.0,0.625,2.5,1.25,0.625,2.5,-1.25,10.625
0.140625,0.0,1.0,0.0,-1.0,0.703125,2.5625,1.40625,0.703125,2.5625,-1.40625,11.953125
0.15625,0.0,1.0,0.0,-1.0,0.78125,2.625,1.5625,0.78125,2.625,-1.5625,13.28125
0.171875,0.0,1.0,0.0,-1.0,0.859375,2.6875,1.71875,0.859375,2.6875,-1.71875,14.609375
0.1875,0.0,1.0,0.0,-1.0,0.9375,2.75,1.875,0.9375,2.75,-1.875,15.9375
0.203125,0.0,1.0,0.0,-1.0,1.015625,2.8125,2.03125,1.015625,2.8125,-2.03125,17.265625
0.21875,0.0,1.0,0.0,-1.0,1.09375,2.875,2.1875,1.09375,2.875,-2.1875,18.59375
0.234375,0.0,1.0,0.0,-1.0,1.171875,2.9375,2.34375,1.171875,2.9375,-2.34375,19.921875
0.25,0.0,1.0,0.0,-1.0,1.25,3.0,2.5,1.25,3.0,-2.5,21.25
0.265625,0.0,1.0,0.0,-1.0,1.328125,3.0625,2.65625,1.328125,3.0625,-2.65625,22.578125
0.28125,0.0,1.0,0.0,-1.0,1.40625,3.125,2.8125,1.40625,-12.375,-2.8125,23.90625
0.296875,0.0,1.0,0.0,-1.0,1.484375,3.1875,2.96875,1.484375,-12.5625,-2.96875,25.234375
0.3125,0.0,1.0,0.0,-1.0,1.5625,3.25,3.125,1.5625,-12.75,-3.125,26.5625
0.328125,0.0,1.0,0.0,-1.0,1.640625,3.3125,3.28125,1.640625,-12.9375,-3.28125,27.890625
